nome_atual,novo_nome
ARTESANO 06 (3).jpg,08470 - TAPETE ARTESANO COR 06 300X400 - 54010WQ6.jpg
ARTESANO 06 (3).jpg,10611 - TAPETE ARTESANO COR 06 380X1500 - WQ6.jpg
ARTESANO 06 (3).jpg,08476 - TAPETE ARTESANO COR 06 400X1500 - 54010WQ6.jpg
ARTESANO 06 (3).jpg,08441 - TAPETE ARTESANO COR 06 50X100 - 54010WQ6.jpg
ARTESANO 06 (4).jpg,08446 - TAPETE ARTESANO COR 06 100X140 - 54010WQ6.jpg
ARTESANO 06 (4).jpg,08452 - TAPETE ARTESANO COR 06 140X200 - 54010WQ6.jpg
ARTESANO 06 (4).jpg,08458 - TAPETE ARTESANO COR 06 200X250 - 54010WQ6.jpg
ARTESANO 06 (4).jpg,08464 - TAPETE ARTESANO COR 06 250X350 - 54010WQ6.jpg
ARTESANO 06 (4).jpg,08470 - TAPETE ARTESANO COR 06 300X400 - 54010WQ6.jpg
ARTESANO 06 (4).jpg,10611 - TAPETE ARTESANO COR 06 380X1500 - WQ6.jpg
ARTESANO 06 (4).jpg,08476 - TAPETE ARTESANO COR 06 400X1500 - 54010WQ6.jpg
ARTESANO 06 (4).jpg,08441 - TAPETE ARTESANO COR 06 50X100 - 54010WQ6.jpg
